City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.3428,57.7575,84.45,58,40,13.8,MU,1673524691
Tuatapere,-46.1333,167.6833,48.13,93,22,3.15,NZ,1673524691
Khatanga,71.9667,102.5,-48.35,100,100,3.6,RU,1673524691
Ushuaia,-54.8,-68.3,51.42,87,20,6.91,AR,1673524482
Punta Arenas,-53.15,-70.9167,51.91,76,0,16.11,CL,1673524692
Bilibino,68.0546,166.4372,-14.39,80,77,6.02,RU,1673524692
Salinópolis,-0.6136,-47.3561,80.6,81,60,11.81,BR,1673524692
Vaini,-21.2,-175.2,80.76,89,40,10.36,TO,1673524692
Kavieng,-2.5744,150.7967,81.5,79,98,8.88,PG,1673524692
Bredasdorp,-34.5322,20.0403,84.63,42,65,23.38,ZA,1673524692
Butaritari,3.0707,172.7902,81.07,80,85,16.6,KI,1673524692
Albany,42.6001,-73.9662,33.51,78,69,3.0,US,1673524693
Sri Aman,1.2376,111.4621,80.65,83,92,0.0,MY,1673524693
Hokitika,-42.7167,170.9667,64.27,80,30,4.21,NZ,1673524694
Busselton,-33.65,115.3333,67.62,79,0,12.73,AU,1673524694
Vila Franca do Campo,37.7167,-25.4333,63.01,92,99,10.87,PT,1673524695
Faanui,-16.4833,-151.75,81.36,75,100,20.92,PF,1673524695
Makat,47.6469,53.3463,20.08,56,12,11.34,KZ,1673524696
Birjand,32.8663,59.2211,34.27,23,0,4.61,IR,1673524400
Yellowknife,62.456,-114.3525,5.52,85,100,10.36,CA,1673524697
Hobart,-42.8794,147.3294,66.06,77,75,6.91,AU,1673524697
Amga,60.8953,131.9608,-44.91,100,72,1.41,RU,1673524698
Ketchikan,55.3422,-131.6461,37.2,80,98,4.25,US,1673524698
Ilulissat,69.2167,-51.1,-23.19,76,21,6.11,GL,1673524699
Ambilobe,-13.2,49.05,85.6,64,40,6.87,MG,1673524699
Saskylakh,71.9167,114.0833,-35.43,97,100,4.27,RU,1673524700
Cape Town,-33.9258,18.4232,79.12,56,20,18.41,ZA,1673524652
Sorong,-0.8833,131.25,80.47,81,100,6.17,ID,1673524700
West Wendover,40.7391,-114.0733,26.42,77,57,4.18,US,1673524700
Geraldton,-28.7667,114.6,72.01,78,100,17.27,AU,1673524700
Roald,62.5833,6.1333,44.76,87,75,12.66,NO,1673524701
Ossora,59.2353,163.0719,11.62,93,100,5.19,RU,1673524701
Saint George,37.1041,-113.5841,40.86,63,53,2.59,US,1673524701
